fb,tb,ratio_a,ratio_b,ratio_c,phases,tap_a,tap_b,tap_c
11,1017,1.0,1.0,1.0,b,0.0,0.0,0.0
1028,1029,1.0,1.0,1.0,abc,0.0,0.0,0.0
1038,1039,1.0,1.0,1.0,a,0.0,0.0,0.0
1035,1045,1.0,1.0,1.0,abc,0.0,0.0,0.0
1034,1055,1.0,1.0,1.0,abc,0.0,0.0,0.0
1057,1058,1.0,1.0,1.0,abc,0.0,0.0,0.0
1062,1065,1.0,1.0,1.0,bc,0.0,0.0,0.0
1032,1068,1.0,1.0,1.0,abc,0.0,0.0,0.0
1025,1071,1.0,1.0,1.0,bc,0.0,0.0,0.0
1024,1074,1.0,1.0,1.0,bc,0.0,0.0,0.0
1023,1078,1.0,1.0,1.0,bc,0.0,0.0,0.0
1084,1085,1.0,1.0,1.0,abc,0.0,0.0,0.0
1083,1097,1.0,1.0,1.0,abc,0.0,0.0,0.0
